
id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
345;0.269294;0.257089;0.0169293;1;0
346;0.281499;0.259845;0.0169293;1;0
347;0.198821;0.313389;0.0169293;1;0
348;0.259845;0.322838;0.0169293;1;0
349;0.311027;0.342129;0.0169293;1;0
350;0.222837;0.166143;0.017323;1;0
351;0.211419;0.181892;0.017323;1;0
352;0.222049;0.21575;0.017323;1;0
353;0.355122;0.235829;0.017323;1;0
354;0.216538;0.252365;0.017323;1;0
355;0.322838;0.253152;0.017323;1;0
356;0.349216;0.297247;0.017323;1;0
357;0.166931;0.322444;0.017323;1;0
358;0.279924;0.367326;0.017323;1;0
359;0.269294;0.375201;0.017323;1;0
360;0.271656;0.385043;0.017323;1;0
361;0.303153;0.2189;0.0177167;1;0
362;0.209845;0.222049;0.0177167;1;0
363;0.239766;0.237798;0.0177167;1;0
364;0.244491;0.248428;0.0177167;1;0
365;0.385831;0.285436;0.0177167;1;0
366;0.146458;0.311814;0.0177167;1;0
367;0.239372;0.329925;0.0177167;1;0
368;0.329137;0.331893;0.0177167;1;0
369;0.160238;0.369689;0.0177167;1;0
370;0.28268;0.144883;0.0181104;1;0
371;0.363783;0.221656;0.0181104;1;0
372;0.225593;0.239766;0.0181104;1;0
373;0.190553;0.272444;0.0181104;1;0
374;0.305515;0.28268;0.0181104;1;0
375;0.284648;0.298822;0.0181104;1;0
376;0.364177;0.305909;0.0181104;1;0
377;0.320476;0.387799;0.0181104;1;0
378;0.244884;0.231105;0.0185041;1;0
379;0.248428;0.24016;0.0185041;1;0
380;0.199215;0.249215;0.0185041;1;0
381;0.356696;0.261026;0.0185041;1;0
382;0.259058;0.2752;0.0185041;1;0
383;0.268507;0.303546;0.0185041;1;0
384;0.307877;0.310239;0.0185041;1;0
385;0.258664;0.369295;0.0185041;1;0
386;0.257089;0.397642;0.0185041;1;0
387;0.30394;0.153151;0.0188978;1;0
388;0.362602;0.282286;0.0188978;1;0
389;0.367326;0.307877;0.0188978;1;0
390;0.197246;0.342523;0.0188978;1;0
391;0.342523;0.34646;0.0188978;1;0
392;0.256695;0.194096;0.0192915;1;0
393;0.200396;0.230317;0.0192915;1;0
394;0.368114;0.27205;0.0192915;1;0
395;0.160632;0.309452;0.0192915;1;0
396;0.392917;0.309846;0.0192915;1;0
397;0.164962;0.382681;0.0192915;1;0
398;0.265357;0.390949;0.0192915;1;0
